feature,gain,split_count
tree__edge_80_to_40_child_mean_minus_parent_mean,4.854467868804932,5.0
tree__edge_20_to_10_near_equal_002_fraction,4.710419178009033,3.0
tree__level_160_max_mean_gap,4.679047107696533,6.0
tree__edge_80_to_40_child_max_minus_parent_q50,4.671736240386963,24.0
tree__edge_40_to_20_sibling_abs_gap_q90,4.5818610191345215,6.0
tree__level_80_softmax_effective_fraction_t005,4.519733428955078,20.0
tree__level_40_log_count,4.373117446899414,1.0
tree__edge_20_to_10_argmax_alignment,4.324867248535156,4.0
tree__level_160_softmax_effective_fraction_t005,4.231811046600342,11.0
tree__edge_80_to_40_child_max_minus_parent_q10,4.177873134613037,10.0
tree__edge_80_to_40_child_mean_minus_parent_q50,4.146518230438232,9.0
tree__edge_40_to_20_child_mean_minus_parent_q10,3.539715528488159,3.0
tree__edge_40_to_20_near_equal_005_fraction,3.430741786956787,5.0
tree__level_160_softmax_entropy_norm_t005,3.228287696838379,3.0
tree__level_80_q90,1.6364660263061523,1.0
tree__level_160_top5_mean,0.0,0.0
tree__level_20_q75,0.0,0.0
tree__level_80_log_count,0.0,0.0
tree__level_80_q50,0.0,0.0
tree__level_80_top5_mean,0.0,0.0
